"TaxID";"Taxon.name";"Rank";"Model.organism";"Picture";"Image.name"
2093;"Mycoplasma";"Genus";"";"Mollicutes_cells.svg";"Mollicutes cell"
85007;"Corynebacteriales";"Suborder";"Mycobacterium tuberculosis";"Bacteria1Mplus_rod.svg";"Coryneform bacterias: two membrane (Gram+)"
270;"Thermus";"genus";"Thermus aquaticus";"Bacteria2M_rod.svg";"Rod-shaped bacteria: two membranes (Gram-)"
1298;"Deinococcus";"genus";"Deinococcus radiodurans";"Bacteria1M_tetrad.svg";"Tetrad bacteria: one membrane (Gram+)"
992;"Flexibacter";"genus";"";"Bacteria2M_rod.svg";"Rod-shaped bacteria: two membranes (Gram-)"
535;"Chromobacterium";"genus";"";"Bacteria2M_rodtococcus.svg";"Rod-coccus bacteria: two membranes (Gram-)"
53246;"Pseudoalteromonas ";"genus";"";"Bacteria2M_rod.svg";"Rod-shaped bacteria: two membranes (Gram-)"
28067;"Rubrivivax";"genus";"";"Bacteria2M_rod.svg";"Rod-shaped bacteria: two membranes (Gram-)"
2713;"Aquifex";"genus";"";"Bacteria2M_rod.svg";"Rod-shaped bacteria: two membranes (Gram-)"
28228;"Colwellia";"genus";"";"Bacteria2M_rod.svg";"Rod-shaped bacteria: two membranes (Gram-)"
541;"Zymomonas";"genus";"";"Bacteria2M_rod.svg";"Rod-shaped bacteria: two membranes (Gram-)"
441;"Gluconobacter";"genus";"Gluconobacter oxydans";"Bacteria2M_rodtococcus.svg";"Rod-coccus bacteria: two membranes (Gram-)"
657;"Photobacterium ";"genus";"";"Bacteria2M_rodtococcus.svg";"Rod-coccus bacteria: two membranes (Gram-)"
33071;"Gloeobacter";"genus";"";"Bacteria2M_rod.svg";"Rod-shaped bacteria: two membranes (Gram-)"
497;"Psychrobacter";"genus";"Psychrobacter immobilis";"Bacteria1M_diplococci.svg";"Diplococci bacteria: one membrane (Gram+)"
264688;"Trichormus ";"genus";"Trichormus variabilis";"Bacteria2M_trichormus.svg";"Bacteria: Trichormus: two membranes (Gram-)"
13134;"Magnetospirillum";"genus";"Spirochaetes: Magnetospirillum";"Bacteria2M_spiral.svg";"Spiral bacteria: two membranes (Gram-)"
162171;"Magnetococcus";"genus";"";"Bacteria2M_coccus.svg";"Bacteria: coccus: two membranes (Gram-)"
836;"Porphyromonas";"genus";"";"Bacteria2M_rodtococcus.svg";"Rod-coccus bacteria: two membranes (Gram-)"
838;"Prevotella";"genus";"";"Bacteria2M_rod.svg";"Rod-shaped bacteria: two membranes (Gram-)"
237;"Flavobacterium";"genus";"";"Bacteria2M_rod.svg";"Rod-shaped bacteria: two membranes (Gram-)"
NA;"";"";"";"";""
NA;"";"";"";"";""
NA;"";"";"";"";""
NA;"";"";"";"";""
NA;"";"";"";"";""
NA;"";"";"";"";""
NA;"";"";"";"";""
NA;"";"";"";"";""
NA;"";"";"";"";""
NA;"";"";"";"";""
NA;"";"";"";"";""
NA;"";"";"";"";""
NA;"";"";"";"";""
NA;"";"";"";"";""
NA;"";"";"";"";""
NA;"";"";"";"";""
NA;"";"";"";"";""
NA;"";"";"";"";""
NA;"";"";"";"";""
NA;"";"";"";"";""
NA;"";"";"";"";""
NA;"";"";"";"";""
NA;"";"";"";"";""
NA;"";"";"";"";""
NA;"";"";"";"";""
NA;"";"";"";"";""
NA;"";"";"";"";""
